	NH3		He		Ne		Ar
5.38E-4	0.117244066225171	4.38E-4	0.293434660799973	6.38E-4	0.510900571644014	8.38E-4	0.593110800182058
5.36E-4	0.120858925270117	4.36E-4	0.306720030571545	6.36E-4	0.522882386290267	8.36E-4	0.601609189301334
5.34E-4	0.123254651956383	4.34E-4	0.320908272115778	6.34E-4	0.540529101334773	8.34E-4	0.614850565534837
5.32E-4	0.125549481377353	4.32E-4	0.334914697301029	6.32E-4	0.553008911228203	8.32E-4	0.636000746055342
5.3E-4	0.128191967570956	4.3E-4	0.350342162392297	6.3E-4	0.56314916819468	8.3E-4	0.643733356892308
5.28E-4	0.132593509744962	4.28E-4	0.366560831293797	6.28E-4	0.579447400753464	8.28E-4	0.649215907978666
5.26E-4	0.135029005776333	4.26E-4	0.379641720537882	6.26E-4	0.595504973646882	8.26E-4	0.656831027205487
5.24E-4	0.139359394271912	4.24E-4	0.400034737067169	6.24E-4	0.611616867447258	8.24E-4	0.660693176954229
5.22E-4	0.143675636877684	4.22E-4	0.417490961158319	6.22E-4	0.62349428362867	8.22E-4	0.673745003553202
5.2E-4	0.145759826978037	4.2E-4	0.430395688250002	6.2E-4	0.640617240518212	8.2E-4	0.679606501264434
5.18E-4	0.149786944486766	4.18E-4	0.446533861752656	6.18E-4	0.655741439342868	8.18E-4	0.688651439698007
5.16E-4	0.150886240291017	4.16E-4	0.466901428662178	6.16E-4	0.665910924568796	8.16E-4	0.699942816649954
5.14E-4	0.153726615355169	4.14E-4	0.486993475794886	6.14E-4	0.679625937844597	8.14E-4	0.709078941345373
5.12E-4	0.155847033074408	4.12E-4	0.504718167040474	6.12E-4	0.693167074927688	8.12E-4	0.720697507479274
5.1E-4	0.15831187654881	4.1E-4	0.52057725325831	6.1E-4	0.708662069211209	8.1E-4	0.734990289635306
5.08E-4	0.162501090144325	4.08E-4	0.543339624061877	6.08E-4	0.725492293770675	8.08E-4	0.746640523773224
5.06E-4	0.164936344404222	4.06E-4	0.565612842949432	6.06E-4	0.739446441281376	8.06E-4	0.74847203587542
5.04E-4	0.164196496789284	4.04E-4	0.586869736754652	6.04E-4	0.756124232186465	8.04E-4	0.756730035793298
5.02E-4	0.166594066320174	4.02E-4	0.603551136526839	6.02E-4	0.76614913163099	8.02E-4	0.7700613627847
5E-4	0.167785234302204	4E-4	0.625298688094245	6E-4	0.778348961272264	8E-4	0.781821772762522
4.98E-4	0.168618570683866	3.98E-4	0.647053052841738	5.98E-4	0.790902180895632	7.98E-4	0.793343094487975
4.96E-4	0.169580895190687	3.96E-4	0.671930591722289	5.96E-4	0.80650097004184	7.96E-4	0.805531276485352
4.94E-4	0.171540487743692	3.94E-4	0.691974490925708	5.94E-4	0.817025151156969	7.94E-4	0.80787515199979
4.92E-4	0.173518113384715	3.92E-4	0.708351905056829	5.92E-4	0.825907429540976	7.92E-4	0.806328592795615
4.9E-4	0.174640728646577	3.9E-4	0.731127786596343	5.9E-4	0.833111188266677	7.9E-4	0.81458633760574
4.88E-4	0.177010432984074	3.88E-4	0.747543593431974	5.88E-4	0.842211942570739	7.88E-4	0.83067001680768
4.86E-4	0.177607409959795	3.86E-4	0.763818481652895	5.86E-4	0.84982109395439	7.86E-4	0.837998607884912
4.84E-4	0.176827771591883	3.84E-4	0.781149905328067	5.84E-4	0.863725290692614	7.84E-4	0.854058954644256
4.82E-4	0.177804814305385	3.82E-4	0.796777809561589	5.82E-4	0.873565657395923	7.82E-4	0.861482884728164
4.8E-4	0.179263190437072	3.8E-4	0.817779141059182	5.8E-4	0.883705484807166	7.8E-4	0.869924092965303
4.78E-4	0.181457106880546	3.78E-4	0.837179061594567	5.78E-4	0.89468443002353	7.78E-4	0.880164032094825
4.76E-4	0.183652371037953	3.76E-4	0.850533886017354	5.76E-4	0.904509305766298	7.76E-4	0.887654934317826
4.74E-4	0.184778981322996	3.74E-4	0.866863775406433	5.74E-4	0.91124184247381	7.74E-4	0.888378328516398
4.72E-4	0.183982309162966	3.72E-4	0.887078351439875	5.72E-4	0.920088556680537	7.72E-4	0.899484951329513
4.7E-4	0.18809847104633	3.7E-4	0.900306224107803	5.7E-4	0.929372548638145	7.7E-4	0.909654852456652
4.68E-4	0.189532569669029	3.68E-4	0.909184552048111	5.68E-4	0.934136945129177	7.68E-4	0.916872795319622
